Date,p,v,pADANIPORTS,vADANIPORTS,pASIANPAINT,vASIANPAINT,pAXISBANK,vAXISBANK,pBAJAJ-AUTO,vBAJAJ-AUTO,pBAJFINANCE,vBAJFINANCE,pBAJAJFINSV,vBAJAJFINSV,pBPCL,vBPCL,pBHARTIARTL,vBHARTIARTL,pINFRATEL,vINFRATEL,pBRITANNIA,vBRITANNIA,pCIPLA,vCIPLA,pCOALINDIA,vCOALINDIA
4/1/2009,3060.350098,0,62.83831787,9438590,42.38191605,31480,54.89254379,26359915,,,2.939137936,64853,172.9417572,13795,23.86058617,2572992,265.0601501,17315235,,,76.24107361,129510,205.658905,1075019,,
4/2/2009,3211.050049,0,64.02760315,6387430,43.10980225,936970,57.70838165,20519345,,,3.120288134,251219,172.3626862,18136,24.39038467,2499852,275.3415833,9939215,,,77.73612213,49130,211.6261597,1470398,,
4/6/2009,3256.600098,0,71.01578522,7880855,42.24442291,40410,57.13735199,27773380,,,3.108075142,43723,181.4900513,23347,24.48849678,5097546,284.4163208,8877125,,,80.55187988,919940,207.9612427,1677195,,
4/8/2009,3342.949951,0,67.4202652,3557795,42.117733,217720,58.22691345,29217355,,,3.319761038,90234,184.7736969,32274,25.15890312,5532360,285.5158386,12972370,,,80.19786072,68050,218.3452148,1587646,,
4/9/2009,3342.050049,0,69.75276184,4646875,42.45740509,34330,58.49603653,39840680,,,3.2566607,45318,182.7454987,15797,25.13602448,2624232,287.131958,7430090,,,78.80358887,55930,213.5055847,694672,,
4/13/2009,3382.600098,0,70.08462524,1438090,44.25286102,87470,60.62925339,24256575,,,3.283120155,97758,181.103653,9418,24.18761063,6577764,285.9469604,6530766,,,80.35036469,38810,213.4116516,589340,,
4/15/2009,3484.149902,0,73.69857788,5416915,47.19136429,350920,66.18873596,33801615,,,3.747197866,247792,182.4073029,10058,24.10260201,9024318,295.3231201,9326715,,,82.7631073,362020,226.4738312,2092339,,
4/16/2009,3369.5,0,70.10307312,3053720,48.74419022,969400,61.974823,34495165,,,3.535511255,137055,188.8792267,20730,25.11640167,5919786,287.8869324,9786552,,,82.82302094,78850,224.735321,1197826,,
4/17/2009,3384.399902,0,69.51304626,2538755,49.48557281,172510,66.06402588,28751055,,,3.439847708,1355574,192.5973969,17395,25.39437294,5624400,293.3830872,12573217,,,83.6726532,138740,216.1368408,1811240,,
4/20/2009,3377.100098,0,69.84492493,1310245,50.09213257,306670,66.93043518,31980195,,,3.435779095,64740,209.645813,74096,25.33224869,2939334,296.6809387,6747425,,,86.89146423,131020,209.2768707,4528410,,
